"ID"	"First_Author"	"NIST_Author"	"Journal"	"Year"	"Volume"	"m_1st_Page"	"PDF_Avail"	"Instrument"	"CHRNS_"	"Title"	"Second_Author"	"Third_Author"	"m_4th_Plus_Authors"	"Topic"	"Subtopic"	"Abstract"
2	"Allen AJ"	1	"Applied Physics A"	"2002"	"74 (S1)"	"s937"	1	"NG1SANS"	"NOT CHRNS"	"Multiple small-angle neutron scattering studies of anisotropic materials"	"Berk NF"	"Ilavsky J"	"Long GG"	"Materials science"	"Morphology"	"Building on previous work that considered spherical scatterers and randomly oriented spheroidal scatterers, we describe a multiple small-angle neutron scattering (MSANS) analysis for nonrandomly oriented spheroids. We illustrate this with studies of the multi-component void morphologies found in plasma-spray thermal barrier coatings."
3	"Allen AJ"	1	"Acta Materialia"	"2001"	"49 (9)"	"1661"	1	"NG1SANS"	"NOT CHRNS"	"Microstructural characterization of yttria-stabilized zirconia plasma-sprayed deposits using multiple small-angle neutron scattering"	"Ilavsky J"	"Long GG"	"Wallace JS, Berndt CC, Herman H"	"Materials science"	"Ceramics"	"journal not available online"
4	"Batra A"	1	"Macromolecules"	"2003"	"36 (25)"	"9458"	1	"NG1SANS and NG3SANS"	"CHRNS"	"Conformational behavior of guest chains in uniaxially stretched poly(diethylsiloxane) elastomers: H-2 NMR and SANS"	"Hedden RC"	"Schofield P"	"Barnes A, Cohen C, Duncan T"	"Polymers"	"Networks"	"2H nuclear magnetic resonance (NMR) and small angle neutron scattering (SANS) data are reported for deuterated guest chains of polydiethysiloxane (PDES) in end-linked PDES networks as a function of the molecular weight of guest chains relative to that of the network elastic chains. We exploit the ability of PDES networks to form a strain-induced mesophase to demonstrate the tendency of longer guest chains to phase separate or partition selectively to the amorphous phase and the tendency of smaller guest chains to remain distributed between the mesophase and the amorphous phase. The segmental orientation of the guest chains measured via 2H NMR peak splitting can be interpreted in terms of an enthalpic orientational coupling of the chain segments in the amorphous state. SANS results show that the radius of gyration of guest chains in the unstretched networks and in the networks stretched below the mesomorphic transition remains essentially unchanged from that in the melt state. The scattering intensity from SANS patterns for networks with guest chains of any size has a peak in the direction parallel to the stretch direction that reflects the domain spacing of the lamellae in the mesophase."
5	"Bauer BJ"	0	"Materials, Technology and Reliability for Advanced Interconnects and Low-k Dielectrics"	"2003"	"766"	"203"	0	"NG1SANS"	"NOT CHRNS"	"Determination of pore size distribution in nano-porous thin films from small angle scattering"	"Hedden RC"	"Hae-Jeong L"	"et al."	"Materials science"	"Porous materials"	"journal not available online"
6	"Bhatia SR"	0	"Langmuir"	"2002"	"18 (17)"	"6469"	1	"NG3SANS"	"CHRNS"	"Gelation of micellar block polyelectrolytes: Evidence of glassy behavior in an attractive system"	"Mourchid A"			"Polymers"	"Polyelectrolytes"	"We present small-angle neutron scattering and rheology for micellar solutions of polystyrene-poly(acrylic acid) block copolymers that can be regarded as attractive colloids. These systems form gels at high effective micellar volume fractions ( > 0.64) that are suggestive of disordered colloidal glasses. At the gel point, the solution rheology follows the scaling predicted by classical percolation theory, with G' ~ G'' ~ . We argue that this scaling could be due either to formation of a percolated network or to a pretransitional glassy phase."
7	"Bhatia SR"	0	"Current Opinion in Colloid & Interface Science"	"2001"	"6 (5-6)"	"471"	1	"NG3SANS"	"CHRNS"	"Block copolymer assembly to control fluid rheology"	"Mourchid A"	"Joanicot M"		"Polymers"	"Polyelectrolytes"	"Journal not available online"
8	"Bossev DP"	1	"Langmuir"	"2001"	"17 (25)"	"7728"	1	"NG3SANS"	"CHRNS"	"Pressure-induced freezing of the hydrophobic core leads to a L-1 -> H-1 phase transition for C12E5 micelles in D2O"	"Kline SR"	"Israelachvili JN"	"Paulaitis ME"	"Complex fluids"	"Pressure effects"	"We apply small-angle neutron scattering (SANS) to study the effect of pressure on micelle structure in a solution of 1% by weight pentaethylene glycol mono-n-dodecyl ether (C12E5) in D2O at 20 C and pressures up to ~3000 bar. At ambient pressure, the structure is a network of branched, semiflexible, cylindrical micelles with the branch points comprised of three-armed junctions. Our SANS results reveal that pressure induces a phase transition from this network of threadlike micelles to hexagonally ordered bundles of cylindrical micelles. Using geometric packing constraints for three-arm junctions and cylinders, we show that the formation of three-arm junctions becomes increasingly unfavorable with increasing pressure due to the compression of the micelle hydrophobic core, and as such, the network becomes unstable at pressures close to those observed in our SANS experiments. We also measured the temperature dependence of the transition pressure and find that it follows the pressure-temperature freezing curves for liquid n-alkanes of comparable hydrocarbon chain length. These observations lead us to propose that the phase transition is related to a loss of flexibility or conformational entropy of the C12E5 micelles upon the pressure-induced freezing of the micelle hydrophobic core to form an amorphous solid. The formation of hexagonally ordered bundles of cylindrical micelles follows as attractive van der Waals forces between the micelles are not offset by the loss of repulsive undulation forces arising from the fluidity of the hydrophobic core."
9	"Boukari H"	1	"Journal of Materials Research"	"2003"	"18 (3)"	"624"	1	"NG1SANS"	"NOT CHRNS"	"Small-angle neutron scattering study of the role of feedstock particle size on the microstructural behavior of plasma-sprayed yttria-stabilized zirconia deposits"	"Allen AJ"	"Long GG"	"Ilavsky J, Wallace J, Berndt CC, Herman H"	"Materials science"	"Morphology"	"The microstructures of thick plasma-sprayed yttria-stabilized zirconia (8% mass fraction yttria) deposits were studied in a series of Porod small-angle neutron scattering (SANS) and multiple small-angle neutron scattering (MSANS) experiments. Three main void components were identified in the deposits: intrasplat cracks, interlamellar planar pores, and globular pores. The SANS and MSANS measurements were analyzed using the traditional theory for Porod scattering and a recently developed three-component model for MSANS evaluation. The average size, volume fraction, internal surface area, and orientation distribution for each void component within the deposits were determined. This study focused on gaining a better understanding of the effects of initial feedstock particle size and annealing temperatures on the microstructure of deposits sprayed under equivalent particle-impact conditions. Quantitative results are presented for each of four deposit samples: one prepared using the as-received feedstock particle wide-size distribution and three prepared from feedstock powder of different and relatively narrow particle size ranges with average sizes of 32, 47, and 88 ?m. Except for the coarse (88 ?m) feedstock powder, only mild monotonic variations were found in the microstructural anisotropies, the porosities (13 ± 1%), or the internal surface areas in the as-sprayed deposits. The internal surface area was independent of the feedstock particle size, even with the coarse feedstock. When the deposits were annealed at high temperatures (1100 and 1400 °C), the microstructures were altered with a reduction of the total internal surface area and a mild coarsening of the voids. These changes in the microstructural evolution were well-captured and described by the three-component model. The result were compared and related with those obtained from scanning electron microscopy images and elastic moduli measurements."
11	"Burford RP"	0	"Nuclear Instruments and Methods in Physics Research B"	"2003"	"208"	"58"	1	"NG1SANS"	"NOT CHRNS"	"Small angle neutron scattering and transmission electron microscopy studies of interpenetrating polymer networks from thermoplastic elastomers"	"Markotsis MG"	"Knott RB"		"Polymers"	"Polymer networks"	"The formation of interpenetrating polymer networks (IPNs) may allow the production of materials with controlled morphologies and greater probability of synergistic property enhancement. IPNs were made by the in situ polymerisation/crosslinking of styrene in the dispersed styrene-rich phase of block copolymers with a crosslinked elastomeric matrix. Such networks when optimally prepared can combine stiffness with toughness. In this work the ratio of stiff and hard segments (controlled by styrene/isoprene or butadiene ratio) and morphology have been altered, and two families of block copolymers, with linear and radial structures are compared. The morphology of a brittle IPN is compared with a tough analogue, using small angle neutron scattering (SANS) and transmission electron microscopy (TEM). The former reveals substantial orientation in the drawn material, whereas the TEM shows similar structures for both. When radial thermoplastic elastomer IPNs are prepared, the structure is found to be isometric by SANS, as shown by intensity versus scattering vector, q, data for sample sections cut in two directions. The linear thermoplastic elastomer IPNs show quite different scattering, consistent with the rod-like dispersed phases previously established by TEM. The size of the hard, dispersed domains appears to be comparable using TEM and SANS, the latter giving a more sensitive indication of orientation. This possibly reflects the advantages of strong signal generation from a bulk sample, which has undergone little alteration during characterization."
12	"Cappelletti RL"	1	"Journal of Research of NIST"	"2001"	"106 (1)"	"187"	1	"NG3SANS"	"CHRNS"	"Materials research with neutrons at NIST"	"Glnka CJ"	"Krueger S"	"Lindstrom RA, Lynn JW, Praks HA, Prince E, Rush JJ, Rowe JM, Satija SK, Toby BH, Tsai A, Udovic TJ"	"Materials science"	"General review"	"Abstract not available online"
